tf.Tensor(4, shape=(), dtype=int64) tf.Tensor(9.070457, shape=(), dtype=float32) 0.812
tf.Tensor(5, shape=(), dtype=int64) tf.Tensor(7.283969, shape=(), dtype=float32) 0.817
tf.Tensor(6, shape=(), dtype=int64) tf.Tensor(8.453787, shape=(), dtype=float32) 0.803
tf.Tensor(7, shape=(), dtype=int64) tf.Tensor(9.072855, shape=(), dtype=float32) 0.794
tf.Tensor(8, shape=(), dtype=int64) tf.Tensor(8.761864, shape=(), dtype=float32) 0.814
tf.Tensor(9, shape=(), dtype=int64) tf.Tensor(7.833305, shape=(), dtype=float32) 0.827
tf.Tensor(10, shape=(), dtype=int64) tf.Tensor(9.290625, shape=(), dtype=float32) 0.804
tf.Tensor(11, shape=(), dtype=int64) tf.Tensor(8.104563, shape=(), dtype=float32) 0.804
tf.Tensor(12, shape=(), dtype=int64) tf.Tensor(8.774889, shape=(), dtype=float32) 0.803
tf.Tensor(13, shape=(), dtype=int64) tf.Tensor(7.768866, shape=(), dtype=float32) 0.817
tf.Tensor(14, shape=(), dtype=int64) tf.Tensor(7.417338, shape=(), dtype=float32) 0.8
tf.Tensor(15, shape=(), dtype=int64) tf.Tensor(8.563482, shape=(), dtype=float32) 0.798
tf.Tensor(16, shape=(), dtype=int64) tf.Tensor(8.138583, shape=(), dtype=float32) 0.804
tf.Tensor(17, shape=(), dtype=int64) tf.Tensor(8.281199, shape=(), dtype=float32) 0.791
tf.Tensor(18, shape=(), dtype=int64) tf.Tensor(9.373367, shape=(), dtype=float32) 0.823
tf.Tensor(19, shape=(), dtype=int64) tf.Tensor(8.482478, shape=(), dtype=float32) 0.81
tf.Tensor(20, shape=(), dtype=int64) tf.Tensor(8.852652, shape=(), dtype=float32) 0.8
tf.Tensor(21, shape=(), dtype=int64) tf.Tensor(8.143615, shape=(), dtype=float32) 0.822
tf.Tensor(22, shape=(), dtype=int64) tf.Tensor(7.499759, shape=(), dtype=float32) 0.808
tf.Tensor(23, shape=(), dtype=int64) tf.Tensor(8.059158, shape=(), dtype=float32) 0.799
tf.Tensor(24, shape=(), dtype=int64) tf.Tensor(8.407977, shape=(), dtype=float32) 0.819
tf.Tensor(25, shape=(), dtype=int64) tf.Tensor(6.857803, shape=(), dtype=float32) 0.819
